Species,above.median_total,ED.med,EDGE.med,TBL.med,TBL%,RL.cat
CAPE&Erica_intervallaris_var._trifolia,4,0.0008,0.0002,0.0007,82.2%,
CAPE&Erica_abietina_ssp._abietina,0,0.0038,0.0002,0.0035,92.2%,LC
CAPE&Erica_discolor,4,0.0035,0.0002,0.0033,94.7%,LC
CAPE&Erica_intervallaris_var._grandiflora,5,0.0008,0.0002,0.0006,84.4%,
CAPE&Erica_diaphana,3,0.0039,0.0002,0.0038,98.3%,LC
CAPE&Erica_hottentotica,1,0.0020,0.0001,0.0013,65.0%,LC
CAPE&Erica_denticulata_var._retusa,0,0.0017,0.0001,0.0016,93.4%,LC
CAPE&Erica_thimifolia,7,0.0026,0.0001,0.0022,85.2%,LC
CAPE&Erica_amoena,9,0.0023,0.0001,0.0019,84.6%,LC
CAPE&Erica_denticulata_var._denticulata,1,0.0020,0.0001,0.0019,96.5%,LC
CAPE&Erica_denticulata_var._longiflora,0,0.0018,0.0001,0.0017,94.3%,LC
CAPE&Erica_croceovirens,0,0.0015,0.0001,0.0013,86.8%,LC
CAPE&Erica_coccinea_ssp._coccinea,3,0.0021,0.0001,0.0006,30.3%,LC
CAPE&Erica_denticulata_var._grandiloba,1,0.0023,0.0001,0.0022,93.9%,LC
CAPE&Erica_intervallaris_var._intervallaris,0,0.0011,0.0001,0.0009,80.7%,LC
CAPE&Erica_unicolor_ssp._unicolor,0,0.0015,0.0001,0.0015,99.5%,LC
CAPE&Erica_unicolor_ssp._georgensis,0,0.0013,0.0001,0.0013,96.9%,LC
CAPE&Erica_coccinea_ssp._uniflora,5,0.0021,0.0000,0.0005,23.3%,LC
CAPE&Erica_elimensis_var._parvibracteata,10,0.0002,0.0000,0.0001,96.4%,
CAPE&Erica_ovina_var._purpurea,8,0.0002,0.0000,0.0000,22.7%,
CAPE&Erica_peziza,3,0.0006,0.0000,0.0001,15.5%,LC
CAPE&Erica_ovina_var._ovina,2,0.0005,0.0000,0.0000,7.6%,LC
CAPE&Erica_georgica,12,0.0003,0.0000,0.0001,30.5%,LC
CAPE&Erica_elimensis_var._elimensis,1,0.0002,0.0000,0.0001,77.9%,LC
CAPE&Erica_astroites_var._astroites,4,0.0002,0.0000,0.0000,22.0%,LC
CAPE&Erica_astroites_var._minor,4,0.0002,0.0000,0.0000,21.5%,LC
CAPE&Erica_eburnea,1,0.0001,0.0000,0.0001,96.4%,LC
CAPE&Erica_laeta,1,0.0002,0.0000,0.0001,92.9%,LC
CAPE&Erica_capensis,0,0.0001,0.0000,0.0001,99.4%,LC
CAPE&Erica_tenella_var._gracilior,3,0.0000,0.0000,0.0000,89.9%,
CAPE&Erica_subdivaricata,3,0.0000,0.0000,0.0000,95.7%,LC
CAPE&Erica_autumnalis,2,0.0000,0.0000,0.0000,91.9%,LC
CAPE&Erica_sitiens,0,0.0000,0.0000,0.0000,91.2%,LC
CAPE&Erica_tenella_var._tenella,2,0.0000,0.0000,0.0000,75.4%,LC
